student_ID,student_name,department_ID,self_introduction
B10102025,陳士霆,1020,浴室裡沒有人 水是我開的
R11641211,陳泓暄,6410,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11101004,徐偉祺,1010,朱大哥還活著
B09A02019,陳品安,A020,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11521079,許家昀,5210,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11506033,陳泓恩,5060,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
R11527044,黃康蓁,5270,原來你也玩原神啊
B08702109,王駿翔,7020,朱大哥還活著
B10504093,林彥賢,5040,浴室裡沒有人 水是我開的
B10401212,鍾翔菱,4010,沒有父母願意花二十年養一個長髮男
R11945020,張禾辰,9450,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B09A01207,宋玟晴,A010,你好，我是甲
B11201016,張閔語,2010,你好，我是甲
B09101003,黃文謙,1010,幹你娘的腦洞破老鼠又忘記帶卡
B10404025,鮑佑亞,4040,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B10205003,施淳揚,2050,沒有父母願意花二十年養一個長髮男
B11202160,吳敏峻,2020,沒有父母願意花二十年養一個長髮男
B08304035,陳威昱,3040,沒有父母願意花二十年養一個長髮男
D05942150,許權琳,9420,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B09402028,賴彥鈞,4020,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B10103032,林筱堯,1030,朱大哥還活著
B11H03003,陳諺辰,H030,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B08702006,陳威仁,7020,我的性別認同是一架攻擊直升機
B11407A03,吳佳恆,4070,叫Gary的男生都很帥 但無一例外都是🈸==
B11201045,簡言祺,2010,浴室裡沒有人 水是我開的
F08921019,劉智賢,9210,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10703020,劉若諺,7030,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B11502302,王柏佑,5020,幹你娘的腦洞破老鼠又忘記帶卡
B10103082,陳妤宸,1030,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B11202125,蔡欣泰,2020,嗚嗚嗚拜託不要當我好不好🥺 我都有去上課欸😭😭期中我已經唸的很認真了😢😢差這一門課就可以畢業了🥺🥺我會好好認真讀書😭不要當我好嗎😭😭🙏🙏嗚嗚嗚
B08505007,范國諺,5050,我的性別認同是一架攻擊直升機
B08303018,柯福燁,3030,浴室裡沒有人 水是我開的
R10528023,賴可泓,5280,幹你娘的腦洞破老鼠又忘記帶卡
B11501043,李梓同,5010,幹你娘的腦洞破老鼠又忘記帶卡
R10622025,陳泓瑾,6220,朱大哥還活著
B11701150,李聿宏,7010,原來你也玩原神啊
B11606041,陳泓祐,6060,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B10502127,林亮琳,5020,浴室裡沒有人 水是我開的
B08A01049,洪偉亦,A010,幹你娘的腦洞破老鼠又忘記帶卡
B10602126,王思宇,6020,幹你娘的腦洞破老鼠又忘記帶卡
B11402127,蘇軒恩,4020,我的性別認同是一架攻擊直升機
R10632217,洪偉珊,6320,浴室裡沒有人 水是我開的
B10501079,陳妤儒,5010,你好，我是甲
B09701082,張天同,7010,幹你娘的腦洞破老鼠又忘記帶卡
B09502001,王凱璇,5020,退gay圈了，不好意思，喝中药调理好了，青春仿佛是个梦梦醒了也该谢幕了，最近喜欢上了一个女孩子，列表里的男的都找我互删，我要做回直男，好好生活。
B10301016,陳柏諺,3010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
B11202043,沈珈能,2020,原來你也玩原神啊
B09507028,林楷泰,5070,你好，我是甲
B11502102,李梓晨,5020,我的性別認同是一架攻擊直升機
B10703077,王柏良,7030,我的性別認同是一架攻擊直升機
B10101120,鄭皓宏,1010,他媽的這遊戲根本就不平衡 先攻的人永遠離星星近 然後又能偷別人錢
B11707055,鍾承嘉,7070,古馳幫派，古馳幫派，古馳幫派(古馳幫派)
B11101070,蔡柏宏,1010,你沒有要和我去新北耶誕城嗎好啊沒關係啊我沒差啊我就不重要啊你繼續找理由啊
